Team Number,Match Number,Alliance Color,Scouter Name,Competition,Starting Position,Auto Notes in Speaker,Auto Notes in Amp,Auto Pickup Location,Tele Notes in Speaker,Tele Notes in Amp,Notes in Trap,Where Notes Scored,Climb,Driver Confidence,Intake Preference,Disabled,Defense Ratiing,Comments
2220,20,"""Blue""","""Zachary k 2220""",2024wimi,2,1,0,None,0,7,0,"""Podium""","""Attempted But Failed""",3,"""Ground""","""No""",1,""""""
2220,29,"""Red""","""Jay 1675""",2024wimi,4,0,0,None,0,5,0,"""Wing"", ""Center Line""","""Single Climb""",1,"""Ground""","""No""",0,"""At the start of the match, driver(s) seemed confused at first, as time progressed in the match, they got a better understanding and did better"""
2220,41,"""Blue""","""Susheel Kumar Kata 5148""",2024wimi,2,0,0,None,0,0,0,None,"""Attempted But Failed""",1,"""Ground""","""No""",0,""""""
2220,49,"""Red""","""Ellen Halvorsen 6381""",2024wimi,2,0,0,None,0,0,0,"""Subwoofer""","""Single Climb""",3,"""Ground""","""No""",2,""""""
2220,55,"""Red""","""Alex 6421""",2024wimi,1,0,0,None,0,1,0,None,"""Single Climb""",2,"""Source(Fed By Human Player)""","""No""",0,""""""
2220,72,"""Blue""","""AQ 6421""",2024wimi,2,0,0,None,3,1,0,"""Subwoofer""","""Attempted But Failed""",3,"""Ground""","""No""",0,""""""
2220,87,"""Red""","""Whitaker 930""",2024wimi,2,0,0,None,2,4,0,"""Subwoofer""","""Parked""",1,"""Ground""","""No""",0,"""Good weaving through the field and opponents."""
2358,14,"""Red""","""Luke 5148 New Berlin Blitz""",2024wimi,1,0,0,None,3,0,0,"""Center Line""","""Not Attempted""",2,"""Ground""","""No""",0,""""""
2358,22,"""Blue""","""""",2024wimi,2,1,0,None,8,0,0,"""Podium"", ""Wing""","""Not Attempted""",2,"""Ground"", ""Source(Fed By Human Player)""","""Yes - Rest Of Match""",0,"""Didn't know controls crashed"""
2358,22,"""Blue""","""Zack k 930""",2024wimi,2,4,0,"""Wing""",9,0,0,"""Podium"", ""Wing""","""Not Attempted""",3,"""Ground"", ""Source(Fed By Human Player)""","""No""",2,"""Very talented, and confident"""
2358,36,"""Red""","""Jay 1675""",2024wimi,4,0,1,None,0,2,0,"""Subwoofer""","""Not Attempted""",3,"""Ground""","""Yes - Part Of Match""",0,"""Robot was disabled during second half of match """
2358,42,"""Red""","""Ava H 930""",2024wimi,1,0,0,None,0,0,0,None,"""Not Attempted""",3,"""Neither""","""No""",0,"""*Robot wasn't at match, no info could be scouted """
2358,54,"""Blue""","""Logan W 930""",2024wimi,2,1,0,None,2,0,0,"""Subwoofer""","""Parked""",2,"""Ground""","""No""",1,"""Had troubles driving around the field in the second half of the match and the threat was inaccurate at times."""
2358,62,"""Red""","""Aidan 6421""",2024wimi,2,0,0,None,0,0,0,None,"""Not Attempted""",3,Neither,"""No""",0,"""Wasn't in the match"""
2358,68,"""Red""","""Noah 1675""",2024wimi,2,0,0,None,0,0,0,None,"""Parked""",3,"""Ground""","""Yes - Rest Of Match""",2,""""""
2358,75,"""Blue""","""Dhakshesh K 5148""",2024wimi,4,0,0,None,0,0,0,None,"""Parked""",2,"""Neither""","""No""",0,"""had mechanical issues with shooter and note was stuck. attempted to play defense but was not very effective"""
2358,87,"""Red""","""Ellen Halvorsen 6381""",2024wimi,4,0,0,None,0,0,0,None,"""Not Attempted""",3,Neither,"""Yes - Part Of Match""",0,"""For most of the match the robot was disabled and when it wasn't it looked like they were having troubles with the indexer or outake"""
2506,7,"""Red""","""Nathan 6421""",2024wimi,2,1,0,None,3,0,0,"""Subwoofer""","""Harmonized""",3,"""Ground""","""No""",0,""""""
2506,18,"""Red""","""Madalynn 930""",2024wimi,2,0,0,None,4,0,0,"""Podium""","""Harmonized""",3,"""Ground""","""No""",0,""""""
2506,25,"""Red""","""Logan K 930""",2024wimi,2,1,0,None,5,0,0,"""Subwoofer""","""Attempted But Failed""",2,"""Ground""","""No""",0,"""Seemed to have trouble intaking but scored okay"""
2506,31,"""Red""","""Logan K 930""",2024wimi,3,1,0,None,2,3,0,"""Podium""","""Harmonized""",1,"""Ground""","""No""",0,"""Overall middle of the road robot, decent at everything"""
2506,40,"""Blue""","""Liam 6421""",2024wimi,2,1,0,None,3,0,0,"""Wing""","""Single Climb""",1,Neither,"""No""",0,""""""
2506,53,"""Blue""","""Nikolae Munguia 6381""",2024wimi,3,1,0,None,7,0,0,"""Subwoofer""","""Single Climb""",1,"""Ground""","""No""",0,"""Great performance, scored many notes and climbed, only weakness was its auto."""
2506,63,"""Blue""","""Eirian 930""",2024wimi,3,1,0,"""Wing""",6,0,0,"""Podium""","""Single Climb""",1,"""Ground""","""No""",0,"""Good at avoiding defense."""
2506,69,"""Blue""","""Ava H 930""",2024wimi,3,2,0,"""Wing""",4,0,0,"""Subwoofer""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
2506,76,"""Blue""","""Richard 6421""",2024wimi,3,1,0,None,5,0,0,"""Subwoofer""","""Single Climb""",1,"""Ground""","""No""",0,""""""
2506,83,"""Red""","""Rishi Jangam 5148""",2024wimi,3,3,0,"""Wing""",4,0,0,"""Subwoofer""","""Not Attempted""",1,"""Ground""","""No""",0,"""The drivers could do  better"""
2667,4,"""Blue""","""Leonardo 5148""",2024wimi,2,0,0,None,3,0,0,"""Subwoofer""","""Attempted But Failed""",3,"""Ground""","""No""",0,""""""
2667,20,"""Blue""","""Richard 6421""",2024wimi,4,0,1,None,1,0,0,None,"""Not Attempted""",3,"""Ground""","""No""",0,""""""
2667,33,"""Blue""","""Liam 6421""",2024wimi,2,1,0,None,1,0,0,None,"""Single Climb""",1,"""Ground""","""No""",1,"""Power issues"""
2667,43,"""Red""","""Kabao 6381""",2024wimi,3,1,0,None,4,0,0,"""Subwoofer""","""Not Attempted""",2,"""Ground""","""No""",0,""""""
2667,53,"""Red""","""Ellen Halvorsen 6381""",2024wimi,3,1,0,"""Wing""",0,0,0,"""Subwoofer""","""Single Climb""",3,Neither,"""No""",0,""""""
2667,63,"""Red""","""Noah Dinan 1675""",2024wimi,2,1,0,None,3,0,0,"""Subwoofer""","""Single Climb""",3,"""Ground""","""No""",1,""""""
2667,71,"""Red""","""Casey Frahmann 6421""",2024wimi,4,1,0,"""Wing""",2,1,0,"""Subwoofer""","""Single Climb""",2,"""Ground""","""No""",0,""""""
2667,78,"""Red""","""Aidan L 6421""",2024wimi,3,1,0,None,3,0,0,"""Subwoofer""","""Single Climb""",1,"""Ground""","""No""",0,""""""
2667,87,"""Blue""","""Nikolae Munguia 6381""",2024wimi,3,1,0,None,2,0,0,"""Subwoofer""","""Parked""",3,"""Ground""","""No""",0,""""""
2830,4,"""Red""","""Nathan 6421""",2024wimi,3,3,0,"""Wing""",0,2,0,None,"""Not Attempted""",3,"""Ground""","""No""",0,""""""
2830,10,"""Blue""","""Aneeq 6421""",2024wimi,3,3,0,"""Wing""",8,0,0,"""Subwoofer""","""Parked""",1,"""Ground""","""No""",0,"""High score"""
2830,11,"""Red""","""""",2024wimi,1,0,0,None,0,0,0,None,"""Not Attempted""",1,Neither,"""No""",0,""""""
2830,24,"""Red""","""Madalynn 930""",2024wimi,3,3,0,"""Wing""",3,1,0,"""Podium""","""Not Attempted""",1,"""Ground""","""No""",1,""""""
2830,25,"""Red""","""""",2024wimi,1,0,0,None,0,0,0,None,"""Not Attempted""",1,Neither,"""No""",0,""""""
2830,36,"""Blue""","""Olive Lensink 6381""",2024wimi,3,4,0,"""Wing""",1,2,0,"""Subwoofer"", ""Wing""","""Parked""",2,"""Ground""","""No""",2,""""""
2830,44,"""Red""","""Kabao 6381""",2024wimi,2,2,0,None,6,0,0,"""Subwoofer"", ""Wing""","""Parked""",2,"""Ground""","""No""",0,""""""
2830,50,"""Blue""","""Liam 6421""",2024wimi,2,1,0,None,0,0,0,None,"""Parked""",2,Neither,"""No""",1,""""""
2830,57,"""Red""","""Ellen Halvorsen 6381""",2024wimi,3,3,0,"""Wing""",0,2,0,"""Subwoofer""","""Not Attempted""",2,"""Ground""","""No""",0,""""""
2830,67,"""Blue""","""Michael 1675""",2024wimi,3,2,0,"""Wing""",6,0,0,"""Center Line""","""Not Attempted""",2,"""Ground""","""No""",0,""""""
2830,80,"""Blue""","""Richard 6421""",2024wimi,2,3,0,None,6,0,0,None,"""Not Attempted""",2,Neither,"""No""",0,""""""
2830,88,"""Blue""","""Nikolae Munguia 6381""",2024wimi,3,4,0,"""Wing""",0,0,0,None,"""Parked""",1,"""Ground""","""No""",1,"""Not very good performance, had a strong auto and tried to play defense, but they did not impede the red team and was penalized."""
3197,1,"""Red""","""Sudan 6421""",2024wimi,2,0,0,None,3,0,0,None,"""Parked""",2,"""Ground""","""No""",1,"""Good defense but got an amp penalty"""
3197,7,"""Blue""","""Asher  v 930""",2024wimi,2,2,0,"""Center Line""",1,3,0,"""Subwoofer"", ""Wing""","""Single Climb""",1,"""Ground""","""No""",0,""""""
3197,16,"""Red""","""Madalynn 930""",2024wimi,2,0,0,"""Center Line""",5,2,0,"""Podium""","""Harmonized""",2,"""Ground""","""No""",0,""""""
3197,22,"""Blue""","""Richard 6421""",2024wimi,2,0,0,None,2,1,0,None,"""Not Attempted""",1,"""Ground""","""No""",0,""""""
3197,29,"""Blue""","""Boden 930""",2024wimi,2,0,0,None,2,1,0,"""Subwoofer"", ""Podium""","""Single Climb""",1,"""Ground""","""No""",0,""""""
3197,45,"""Red""","""Ava H 930""",2024wimi,1,0,0,"""Center Line""",5,1,0,"""Subwoofer""","""Attempted But Failed""",1,"""Ground""","""No""",0,""""""
3197,51,"""Red""","""Alex 6421""",2024wimi,2,1,0,"""Center Line""",3,0,0,"""Podium""","""Harmonized""",3,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
3197,57,"""Blue""","""Logan W 930""",2024wimi,1,0,0,"""Center Line""",7,0,0,"""Subwoofer"", ""Podium""","""Not Attempted""",2,"""Ground""","""No""",0,"""Consistent intake and accurate shooter. overall goid performance and consistent with shooting."""
3197,64,"""Red""","""aidan 6421""",2024wimi,2,0,0,None,3,0,0,"""Subwoofer""","""Not Attempted""",2,"""Ground""","""No""",1,"""Got an amp penalty"""
3197,81,"""Blue""","""Leonardo 5148""",2024wimi,2,3,0,"""Center Line""",6,1,0,"""Subwoofer"", ""Podium"", ""Wing"", ""Center Line""","""Harmonized""",1,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
3197,89,"""Red""","""Ethan 930""",2024wimi,2,2,0,"""Center Line""",6,0,0,"""Subwoofer""","""Parked""",1,"""Ground""","""No""",0,"""Mist tries at Amp shot."""
3381,2,"""Red""","""Ethan 930""",2024wimi,3,1,0,None,2,1,0,"""Subwoofer""","""Not Attempted""",3,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,"""They have to be strait in ground of speaker to score they miss on side."""
3381,15,"""Blue""","""Everett Hilby 5148""",2024wimi,4,1,0,None,0,0,0,None,"""Single Climb""",2,"""Ground""","""No""",2,""""""
3381,23,"""Red""","""Noah Dinan 1675""",2024wimi,2,1,0,None,1,0,0,"""Podium""","""Single Climb""",3,"""Ground""","""No""",0,""""""
3381,29,"""Red""","""Nathan 6421""",2024wimi,3,0,0,None,5,0,0,"""Subwoofer""","""Parked""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
3381,37,"""Blue""","""Liam 6421""",2024wimi,2,1,0,None,4,0,0,"""Subwoofer""","""Attempted But Failed""",3,"""Ground""","""No""",0,"""Immediately A-stopped"""
3381,46,"""Red""","""Ava H 930""",2024wimi,2,1,0,None,5,1,0,"""Subwoofer""","""Parked""",2,"""Ground""","""No""",0,""""""
3381,61,"""Blue""","""Eirian 930""",2024wimi,3,0,0,None,7,0,0,"""Subwoofer"", ""Podium""","""Single Climb""",2,"""Source(Fed By Human Player)""","""No""",0,"""Good cycle time"""
3381,68,"""Red""","""Asher v 930""",2024wimi,4,0,0,None,5,1,0,"""Subwoofer""","""Parked""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
3381,76,"""Red""","""Casey Frahmann 6421""",2024wimi,3,0,0,None,6,0,0,"""Subwoofer""","""Not Attempted""",2,"""Ground""","""No""",0,""""""
3381,90,"""Blue""","""Ethan 939""",2024wimi,2,1,0,None,10,1,0,"""Subwoofer"", ""Wing""","""Parked""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,"""They fast at pick up from ground."""
3596,15,"""Red""","""Noah Dinan 1675""",2024wimi,4,1,0,None,0,0,0,None,"""Attempted But Failed""",3,"""Ground""","""No""",0,""""""
3596,33,"""Blue""","""Kai 1675""",2024wimi,3,1,0,"""Wing""",4,0,0,None,"""Harmonized""",2,"""Ground""","""No""",2,""""""
3596,39,"""Red""","""Liam 6421""",2024wimi,4,0,0,None,1,0,0,None,"""Harmonized""",2,"""Ground""","""No""",0,"""Transfers Notes from Source"""
3596,46,"""Blue""","""Shane 6381""",2024wimi,3,1,0,"""Wing""",2,0,0,"""Subwoofer""","""Not Attempted""",1,Neither,"""No""",0,""""""
3596,56,"""Red""","""Nathan 930""",2024wimi,2,0,0,None,1,0,0,None,"""Parked""",2,"""Ground""","""No""",0,"""Tried to cycle notes but was inefficient.  """
3596,67,"""Blue""","""AQ 6421""",2024wimi,2,0,0,None,0,0,0,None,"""Single Climb""",3,Neither,"""No""",2,"""Great defense, couldn't line up with note"""
3596,73,"""Blue""","""""",2024wimi,3,1,0,None,0,0,0,None,"""Not Attempted""",1,Neither,"""No""",2,""""""
3596,85,"""Red""","""Rishi Jangam 5148""",2024wimi,4,0,0,None,0,0,0,"""Center Line""","""Not Attempted""",3,"""Source(Fed By Human Player)""","""Yes - Rest Of Match""",2,"""They could do better"""
3630,7,"""Red""","""Lukas Tonkovic 5148""",2024wimi,3,3,0,"""Wing""",1,5,0,"""Wing""","""Parked""",2,"""Ground""","""No""",0,""""""
3630,16,"""Red""","""Casey Frahmann 6421""",2024wimi,3,0,0,None,3,3,0,"""Subwoofer"", ""Wing"", ""Center Line""","""Parked""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,"""Towards the end it started wobbling"""
3630,26,"""Blue""","""6421 K""",2024wimi,2,4,0,"""Wing"", ""Center Line""",1,3,0,"""Subwoofer""","""Parked""",3,"""Ground""","""Yes - Part Of Match""",0,""""""
3630,35,"""Red""","""Casey Frahmann 6421""",2024wimi,3,0,0,"""Center Line""",1,3,0,"""Subwoofer"", ""Center Line""","""Not Attempted""",1,"""Ground""","""Yes - Rest Of Match""",0,""""""
3630,42,"""Blue""","""Shane 6381""",2024wimi,3,3,0,"""Wing"", ""Center Line""",3,6,0,"""Subwoofer"", ""Wing""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
3630,50,"""Blue""","""Logan W 930""",2024wimi,3,1,0,"""Center Line""",0,0,0,"""Subwoofer""","""Not Attempted""",3,"""Ground""","""Yes - Part Of Match""",0,"""Went through auto but after that it was disabled and had a note stuck in its base."""
3630,61,"""Red""","""Noah Dinan 1675""",2024wimi,3,1,0,None,0,0,0,None,"""Not Attempted""",2,"""Ground""","""Yes - Rest Of Match""",2,""""""
3630,72,"""Blue""","""Ava H 930""",2024wimi,3,3,0,"""Wing""",2,4,0,"""Subwoofer""","""Not Attempted""",1,Neither,"""No""",0,""""""
3630,79,"""Red""","""Aidan L 6421""",2024wimi,3,2,0,"""Wing""",2,2,0,"""Subwoofer"", ""Wing""","""Not Attempted""",1,"""Ground"", ""Source(Fed By Human Player)""","""No""",2,""""""
3630,88,"""Red""","""Whitaker 930""",2024wimi,3,3,0,"""Wing""",3,5,0,"""Subwoofer"", ""Wing""","""Not Attempted""",1,"""Ground""","""No""",0,"""Really good amp bot and fast cycle times."""
3692,1,"""Red""","""Lukas To movie 5148""",2024wimi,3,1,0,None,1,0,0,"""Podium""","""Not Attempted""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
3692,13,"""Blue""","""AQ6421""",2024wimi,4,0,0,None,1,3,0,"""Subwoofer""","""Attempted But Failed""",2,"""Ground""","""No""",0,"""Not very consistent"""
3692,25,"""Blue""","""Boden 3692""",2024wimi,3,1,0,None,2,0,0,"""Subwoofer""","""Parked""",2,"""Ground""","""No""",0,"""Intake didn't work very well"""
3692,32,"""Red""","""Logan k 930""",2024wimi,4,0,0,None,0,0,0,None,"""Not Attempted""",3,Neither,"""No""",0,"""Did not move the whole match and the orange light blinked funny near the end but never disabled"""
3692,38,"""Red""","""Jay 1675""",2024wimi,2,0,1,None,0,2,0,"""Subwoofer"", ""Wing""","""Not Attempted""",1,Neither,"""No""",0,"""Did okay scoring, but struggled to pick up notes"""
3692,51,"""Blue""","""Liam 6421""",2024wimi,4,0,0,None,0,0,0,None,"""Parked""",3,"""Ground""","""No""",0,"""Tried to transfer Notes from Source to Wing, but the cycle times are too long and weren't helpful to alliance partners."""
3692,61,"""Red""","""Ashley kohls 930""",2024wimi,4,0,0,None,1,0,0,None,"""Parked""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
3692,69,"""Blue""","""Michael 1675""",2024wimi,2,1,0,None,0,0,0,None,"""Not Attempted""",3,"""Ground"", ""Source(Fed By Human Player)""","""Yes - Part Of Match""",0,""""""
3692,78,"""Red""","""Lauren 5148""",2024wimi,2,1,0,None,0,0,0,None,"""Not Attempted""",2,"""Source(Fed By Human Player)""","""No""",1,""""""
3692,88,"""Blue""","""Liam 6421""",2024wimi,4,1,0,None,1,2,0,None,"""Parked""",3,"""Source(Fed By Human Player)""","""No""",0,""""""
3734,8,"""Red""","""Lukas Tonkovic 5148""",2024wimi,4,0,0,None,0,2,0,"""Subwoofer""","""Not Attempted""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
3734,15,"""Red""","""Casey Frahmann 6421""",2024wimi,3,0,0,None,2,0,0,"""Subwoofer"", ""Podium"", ""Wing"", ""Center Line""","""Not Attempted""",1,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,"""Very good at scoring, good overall, very strong teammate"""
3734,41,"""Red""","""Lily Lo 6381 """,2024wimi,2,2,0,"""Wing""",0,2,0,"""Wing""","""Parked""",2,"""Source(Fed By Human Player)""","""No""",0,"""driver a 2; amp robot """
3734,54,"""Red""","""Nathan 930""",2024wimi,4,1,0,"""Wing""",0,3,0,"""Wing""","""Not Attempted""",3,"""Ground""","""No""",0,"""was having problems with scoring into the amp"""
3734,61,"""Blue""","""Aidan 6421""",2024wimi,4,1,0,"""Wing""",2,0,0,None,"""Parked""",3,"""Ground""","""No""",0,""""""
3734,69,"""Blue""","""AQ6421""",2024wimi,4,1,0,None,0,4,0,None,"""Not Attempted""",2,"""Source(Fed By Human Player)""","""No""",0,"""Intake wobble"""
3734,79,"""Red""","""Lauren 5148""",2024wimi,4,1,0,None,2,2,0,"""Subwoofer""","""Not Attempted""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",2,""""""
3734,86,"""Blue""","""Leonardo 5148""",2024wimi,4,1,0,"""Wing""",2,3,0,"""Subwoofer"", ""Podium""","""Harmonized""",1,"""Ground""","""No""",0,""""""
3891,7,"""Blue""","""Aidan 6421""",2024wimi,4,0,0,None,0,0,0,None,"""Not Attempted""",3,"""Source(Fed By Human Player)""","""Yes - Rest Of Match""",0,""""""
3891,17,"""Red""","""""",2024wimi,2,2,0,"""Wing""",6,0,0,"""Podium""","""Attempted But Failed""",1,"""Source(Fed By Human Player)""","""No""",0,""""""
3891,24,"""Red""","""Aidan L 6421""",2024wimi,2,1,0,None,2,1,0,"""Wing""","""Not Attempted""",3,"""Source(Fed By Human Player)""","""Yes - Part Of Match""",2,""""""
3891,30,"""Red""","""Logan K 930""",2024wimi,2,0,0,None,0,3,0,None,"""Parked""",2,"""Source(Fed By Human Player)""","""No""",0,"""Very effective as navigating the field and dodging defence """
3891,48,"""Red""","""Lawson 930""",2024wimi,4,1,0,None,7,1,0,"""Subwoofer""","""Harmonized""",1,"""Source(Fed By Human Player)""","""No""",0,""""""
3891,59,"""Red""","""Ashley kohls 930""",2024wimi,2,0,0,None,0,0,0,None,"""Single Climb""",2,"""Source(Fed By Human Player)""","""No""",0,""""""
3891,80,"""Red""","""Rishi Jangam 5148""",2024wimi,2,0,0,None,5,0,0,"""Subwoofer""","""Attempted But Failed""",1,"""Source(Fed By Human Player)""","""No""",0,"""the drivers were really confident in their skills"""
3891,86,"""Red""","""Liam 6421""",2024wimi,3,0,0,None,0,0,0,None,"""Not Attempted""",3,Neither,"""Yes - Rest Of Match""",0,""""""
4531,2,"""Blue""","""""",2024wimi,4,2,0,None,2,0,0,"""Subwoofer""","""Harmonized""",1,Neither,"""No""",0,""""""
4531,11,"""Blue""","""Keegan 930""",2024wimi,2,1,0,None,2,0,0,"""Subwoofer"", ""Podium""","""Single Climb""",3,"""Ground""","""No""",1,""""""
4531,26,"""Blue""","""Boden 930""",2024wimi,3,1,0,"""Wing""",3,0,0,"""Subwoofer""","""Harmonized""",2,"""Ground""","""Yes - Part Of Match""",0,"""Got defended"""
4531,34,"""Red""","""Kai 1675""",2024wimi,2,2,0,"""Wing""",6,0,0,"""Subwoofer"", ""Wing""","""Single Climb""",1,"""Ground""","""No""",1,""""""
4531,42,"""Red""","""Kabao 6381""",2024wimi,1,1,0,"""Wing""",5,0,0,"""Subwoofer"", ""Podium"", ""Wing"", ""Center Line""","""Single Climb""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
4531,53,"""Red""","""Alex 6421""",2024wimi,4,1,0,None,2,0,0,"""Subwoofer""","""Single Climb""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,""""""
4531,62,"""Red""","""Alex 6421""",2024wimi,4,2,0,"""Wing""",0,0,0,"""Subwoofer""","""Harmonized""",2,"""Ground""","""No""",1,""""""
4531,70,"""Blue""","""Michael 1675""",2024wimi,4,0,0,None,0,0,0,None,"""Not Attempted""",3,"""Ground""","""Yes - Rest Of Match""",0,"""Had connectivity issues and an underpowered shooter"""
4531,81,"""Red""","""Eirian""",2024wimi,2,1,0,None,5,0,0,"""Podium""","""Single Climb""",3,"""Ground""","""No""",0,""""""
4531,88,"""Red""","""Ellen Halvorsen 6381""",2024wimi,4,2,0,"""Wing""",3,0,0,"""Subwoofer"", ""Podium""","""Attempted But Failed""",3,"""Ground""","""No""",0,""""""
4645,5,"""Blue""","""Aidan 6421""",2024wimi,3,1,0,"""Wing""",2,0,0,None,"""Not Attempted""",2,"""Ground""","""No""",0,""""""
4645,11,"""Red""","""Evan 930""",2024wimi,2,0,0,None,0,0,0,None,"""Single Climb""",2,"""Neither""","""No""",0,""""""
4645,21,"""Blue""","""Zachary kokalj 4645""",2024wimi,3,0,0,None,2,0,0,"""Podium""","""Attempted But Failed""",2,"""Ground""","""No""",0,"""Intake didn't work, and not very confident"""
4645,30,"""Blue""","""Aidan 6421""",2024wimi,2,0,0,None,0,0,0,None,"""Single Climb""",3,"""Ground""","""Yes - Part Of Match""",0,""""""
4645,43,"""Blue""","""Susheel Kumar Kata 5148""",2024wimi,4,0,0,None,2,0,0,"""Subwoofer""","""Not Attempted""",3,"""Ground""","""No""",0,""""""
4645,54,"""Red""","""Ellen Halvorsen 6381""",2024wimi,3,0,0,None,4,0,0,"""Subwoofer""","""Attempted But Failed""",2,"""Ground""","""No""",0,""""""
4645,61,"""Red""","""Alayna 6421""",2024wimi,2,0,0,None,3,1,0,"""Subwoofer""","""Attempted But Failed""",3,"""Source(Fed By Human Player)""","""No""",0,""""""
4645,67,"""Red""","""Asher before 930""",2024wimi,3,1,0,None,3,0,0,"""Subwoofer""","""Single Climb""",2,"""Source(Fed By Human Player)""","""No""",0,""""""
4645,74,"""Red""","""Aidan L 6421""",2024wimi,3,1,0,None,1,0,0,"""Wing""","""Not Attempted""",3,"""Ground""","""No""",0,""""""
4645,89,"""Blue""","""Nikolae Munguia 6381""",2024wimi,3,0,0,None,4,0,0,"""Subwoofer""","""Single Climb""",2,"""Ground"", ""Source(Fed By Human Player)""","""No""",0,"""Did pretty well, scored multiple notes and climbed, but was a bit slow and was penalized"""
4786,14,"""Blue""","""Keegan 930""",2024wimi,4,1,0,None,10,0,0,"""Subwoofer""","""Not Attempted""",1,"""Ground""","""No""",0,""""""
4786,22,"""Red""","""Aidan L 6421""",2024wimi,4,0,0,None,3,2,0,"""Wing""","""Not Attempted""",1,"""Ground""","""No""",1,""""""
4786,23,"""Red""","""""",2024wimi,1,0,0,None,0,0,0,None,"""Not Attempted""",1,Neither,"""No""",0,""""""
4786,33,"""Red""","""Logan K 930""",2024wimi,4,0,0,None,0,0,0,None,"""Parked""",2,Neither,"""No""",2,"""Played defense the whole match, very good defence"""
4786,42,"""Red""","""Lawson 930""",2024wimi,1,0,0,None,0,0,0,None,"""Parked""",3,Neither,"""No""",1,""""""
4786,56,"""Red""","""Ellen Halvorsen 6381""",2024wimi,4,0,0,None,0,0,0,None,"""Parked""",3,"""Ground""","""No""",2,""""""
4786,64,"""Blue""","""Alayna 6421""",2024wimi,1,0,0,None,0,0,0,None,"""Parked""",3,Neither,"""No""",2,""""""
4786,73,"""Red""","""Casey Frahmann 6421""",2024wimi,3,1,0,"""Center Line""",3,3,0,"""Subwoofer"", ""Center Line""","""Single Climb""",1,"""Ground""","""No""",0,"""Overall, good scoring and fast"""
4787,6,"""Red""","""Nathan 6421""",2024wimi,3,0,0,None,0,0,0,None,"""Parked""",2,Neither,"""No""",1,""""""
4787,14,"""Red""","""Evan 930""",2024wimi,1,0,0,None,0,0,0,None,"""Single Climb""",2,"""Neither""","""No""",0,""""""
4787,15,"""Red""","""""",2024wimi,1,0,0,None,0,0,0,None,"""Not Attempted""",1,Neither,"""No""",0,""""""
4787,20,"""Red""","""Aidan L 6421""",2024wimi,3,0,0,None,0,0,0,None,"""Parked""",3,"""Neither""","""No""",1,""""""
4787,30,"""Red""","""Nathan 6421""",2024wimi,4,0,0,None,1,0,0,"""Subwoofer""","""Attempted But Failed""",3,"""Source(Fed By Human Player)""","""No""",0,""""""
4787,40,"""Blue""","""Susheel Kumar Kata 5148""",2024wimi,1,1,0,None,2,0,0,None,"""Harmonized""",2,Neither,"""No""",0,""""""
4787,55,"""Red""","""Ellen Halvorsen 6381""",2024wimi,4,0,0,None,0,0,0,None,"""Single Climb""",3,"""Ground""","""No""",0,""""""
4787,66,"""Blue""","""Ava H 930""",2024wimi,3,0,0,None,0,0,0,"""Subwoofer""","""Parked""",3,"""Ground""","""No""",0,"""Had a note stuck on robot first part of game, and when attempting to shoot in speaker,would consistently shoot low"""
4787,88,"""Blue""","""Ethan 930""",2024wimi,2,0,0,None,1,0,0,"""Subwoofer""","""Single Climb""",2,"""Source(Fed By Human Player)""","""No""",0,"""Take many tries to be fed by human player."""
5096,9,"""Blue""","""Asher v 930""",2024wimi,4,0,0,None,0,0,0,None,"""Not Attempted""",2,Neither,"""Yes - Rest Of Match""",0,""""""
5096,18,"""Blue""","""Michael 1675""",2024wimi,4,1,0,None,0,2,0,"""Subwoofer"", ""Center Line""","""Not Attempted""",3,"""Ground""","""No""",0,""""""
5096,27,"""Red""","""Nathan 6421""",2024wimi,4,0,0,None,0,2,0,None,"""Parked""",1,"""Ground""","""No""",0,""""""
5096,34,"""Red""","""Nathan 6421""",2024wimi,4,0,0,None,0,0,0,None,"""Not Attempted""",1,"""Ground""","""No""",1,""""""
5096,41,"""Blue""","""Shane 6381""",2024wimi,4,0,0,None,0,0,0,None,"""Parked""",2,Neither,"""No""",1,""""""
5096,49,"""Red""","""Everett Hilby 5148""",2024wimi,1,0,0,None,0,0,0,None,"""Parked""",3,Neither,"""Yes - Part Of Match""",2,""""""
5096,57,"""Red""","""Nathan 930""",2024wimi,4,0,0,None,0,0,0,None,"""Parked""",1,"""Neither""","""No""",2,"""Good defense.  """
